Variable / Field Name,Prefix?,Suffix?,Form Name,Field Label,"Choices, Calculations, OR Slider Labels"
participant,,,[redacted],Participant ID,"1, 2, …, 5451 (randomly recoded for this data submission)"
site,,,[redacted],Healthcare system ID,"1, 2, …, 10 (randomly recoded for this data submission)"
practice,,,[redacted],Practice ID,"1, 2, …, 86 (randomly recoded for this data submission)"
intervention,,,[from practice database],Practice assigned to intervention?,"0, No | 1, Yes"
practice_tertile,,,[from practice database],Tertile of practice size (1 is small),"N.B.: based on estimates provided by sites pre-randomization, used to constrain randomization but not reliable, do not interpret"
practice_majwhite,,,[from practice database],Majority of practice patients are white?,"0, No | 1, Yes"
practice_urban,,,[from practice database],Practice is urban?,"0, No | 1, Yes"
screendate,,,screener,"Screening Date :
Date postcard received at DCC or
Reliant clinic visit date",redacted to # of days after enrollment
fallenpastyear,,,screener,1. Have you fallen 2 or more times in the past year?,"1, Yes | 2, No | 3, Ambiguous | 8, Missing"
hurtself,,,screener,2. Have you fallen and hurt yourself in the past year?,"1, Yes | 2, No | 3, Ambiguous | 8, Missing"
afraidtofall,,,screener,3. Are you afraid that you might fall because of balance or walking problems?,"1, Yes | 2, No | 3, Ambiguous | 8, Missing"
screenoutcome,,,screener,Screening Outcome:,"1, Complete: At least one 'yes' response | 2, Complete: All responses are 'no' | 3, Error"
trk_secondary_outcomes,,,tracking_indicators,Selected for the Secondary Outcomes substudy,"0, N/A | 1, Yes | 2, No"
trk_enrolled,,,tracking_indicators,Enrolled,"0, No | 1, Yes"
trk_enroll_date,,,tracking_indicators,Enrollment date,redacted to # of days after enrollment
trk_languagepreference,,,tracking_indicators,Language Preference,"1, English | 2. Spanish"
trk_sc_status,,,tracking_indicators,Status change form: withdrawal status,"1, Intervention withdrawal | 2, Practice change | 3, Healthcare system change | 4, Medical record review only (passive participation) | 5, FULL STUDY WITHDRAWAL"
trk_statuschg_date,,,tracking_indicators,Status change form: status change date,redacted to # of days after enrollment
trk_sc_intervention_status,,,tracking_indicators,Status change form: intervention withdrawal status,"1, Intervention withdrawal | 2, Practice change | 3, Healthcare system change"
trk_sc_intervention_withd_date,,,tracking_indicators,Status change form: intervention withdrawal date,redacted to # of days after enrollment
