"","screenid","xid","yid","0%","25%","50%","75%","100%"
"1",5000534,123021,698,1,1,1,1,1
"2",5000534,123024,698,1,1,1,1,1
"3",5000534,123026,698,1,1,1,1,1
"4",5000534,123036,698,1,1,1,1,1
"5",5000534,123037,698,1,1,1,1,1
"6",5000534,123038,698,1,1,1,1,1
"7",5000534,123080,699,0,0.5,1,1.5,2
"8",5000534,123085,699,0,0.5,1,1.5,2
"9",5000534,123089,699,0,0.5,1,1.5,2
"10",5000534,123100,700,0,0,0,0,0
"11",5000534,123104,700,0,0,0,0,0
"12",5000534,123244,700,0,0,0,38.5,77
"13",5000534,123173,702,6,6,6,6,6
"14",5000534,123174,702,6,6,6,6,6
"15",5000534,122901,704,0,0,0,0,0
"16",5000534,123297,704,0,0,0,0,0
"17",5000534,122961,705,0,0,0,0,0
"18",5000534,123322,705,0,0,0,0,0
"19",5000666,123428,706,6,6,6,6,6
"20",5000666,123449,706,6,6,6,6,6
"21",5001268,123618,708,0,0,0,0,0
"22",5003264,124509,710,68,68,68,68,68
"23",5003264,124477,711,0,0,0,0,0
"24",5003264,124478,711,0,0,0,0,0
"25",5003264,124512,711,0,0,0,0,0
"26",5004577,125167,713,0,0,0,0,0
"27",5004577,125168,713,0,0,0,0,0
"28",5004577,125169,713,0,0,0,0,0
"29",5004577,125170,713,0,0,0,0,0
"30",5004577,125171,713,0,0,0,0,0
"31",5004577,125172,713,0,0,0,0,0
"32",5004577,125173,713,0,0,0,0,0
"33",5007240,126100,715,1,1,1,1,1
"34",5008198,126408,718,4,4,4,4,4
"35",5008198,126410,718,4,4,4,4,4
"36",5008198,126411,718,4,4,4,4,4
"37",5008198,126414,718,4,4,4,4,4
"38",5008198,126415,718,4,4,4,4,4
"39",5008198,126417,718,4,4,4,4,4
"40",5008198,126420,718,4,4,4,4,4
"41",5008636,127002,722,1,1,1,1,1
"42",5008636,127003,722,1,1,1,1,1
"43",5008636,127004,722,1,1,1,1,1
"44",5008636,127030,722,1,1,1,49.5,98
"45",5009394,127261,724,0,0,0,0,0
"46",5009394,127268,724,0,0,0,0,0
"47",5009394,127269,724,0,0,0,0,0
"48",5009394,127272,724,0,0,0,0,0
"49",5009394,127285,725,8.5,8.5,8.5,8.5,8.5
"50",5009394,127448,725,8.5,8.5,8.5,8.5,8.5
"51",5009808,127715,726,0,0,0,0,0
"52",5009808,127716,726,0,0,0,0,0
"53",5009808,127717,726,0,0,0,0,0
"54",5009808,127718,726,0,0,0,0,0
"55",5009808,127719,726,0,0,0,0,0
"56",5009808,127721,726,0,0,0,0,0
"57",5009808,127784,726,0,0,0,0,0
"58",5011176,128990,728,0,0,0,0,0
"59",5011176,128993,728,0,0,0,0,0
"60",5011176,129033,728,0,0,0,0,0
"61",5012745,129369,730,6,6,6,6,6
"62",5012745,129352,731,5,5,5,5,5
"63",5012778,129406,732,32,32,32,32,32
"64",5012778,129474,732,32,32,32,32,32
"65",5012976,129498,733,4,4,4,4,4
"66",5012976,129499,733,4,4,4,4,4
"67",5012976,129500,733,4,4,4,4,4
"68",5012976,129501,733,4,4,4,4,4
"69",5012976,129600,733,4,4,4,4,4
"70",5013321,129848,734,13,13,13,13,13
"71",5013321,129856,734,13,13,13,13,13
"72",5013321,129870,734,13,13,13,13,13
"73",5013321,129928,734,13,13,13,13,13
"74",5015532,130685,737,0,0,0,0,0
"75",5015532,130687,737,0,0,0,0,0
"76",5015532,130688,737,0,0,0,0,0
"77",5015532,130700,737,0,0,0,0,0
"78",5016050,131308,738,0,0,0,0,0
"79",5016050,131309,738,0,0,0,0,0
"80",5016308,131548,739,1,1,1,1,1
"81",5016571,131941,741,0,0,0,0,0
"82",5016571,131942,741,0,0,0,0,0
"83",5016571,131943,741,0,0,0,0,0
"84",5016571,131944,741,0,0,0,0,0
"85",5016571,131974,741,0,0,0,0,0
"86",5016571,132039,741,0,0,0,158.25,211
"87",5018510,132232,742,0,0,0,0,0
"88",5018510,132233,742,0,0,0,0,0
"89",5018510,132234,742,0,0,0,0,0
"90",5018510,132267,742,0,0,0,0,0
"91",5019062,132343,744,6,6,6,6,6
"92",5019062,132344,744,6,6,6,6,6
"93",5019062,132362,744,6,6,6,6,6
"94",5020987,132931,746,6,6,6,6,6
"95",5021266,133008,747,18,18,18,18,18
"96",5021266,132958,749,23,23,23,23,23
"97",5021266,132959,749,23,23,23,23,23
"98",5021266,133031,749,23,23,23,23,23
"99",5021266,132999,753,1,1,1,1,1
"100",5021548,133232,754,2,2,2,2,2
"101",5021548,133335,754,2,2,2,2,2
"102",5022108,133403,755,10,10,10,10,10
"103",5022108,133404,755,10,10,10,10,10
"104",5022108,133501,755,10,10,10,10,10
"105",5022355,133515,756,0,0,0,0,0
"106",5022355,133516,756,0,0,0,0,0
"107",5022355,133517,756,0,0,0,0,0
"108",5022355,133518,756,0,0,0,0,0
"109",5022355,133519,756,0,0,0,0,0
"110",5022355,133619,756,0,0,0,0,0
"111",5023270,133879,758,3,4.5,6,6,6
"112",5023270,133992,758,3,3.75,6,6,6
